单位id,用户id（uid）,在线时长（秒）
1727,147025170,451753
1727,55039653,32436
1727,147022961,252447
1727,103131505,314077
1727,82832356,48804
1727,66019044,364032
1727,147024092,27094
1727,66005970,180
1727,103130657,70397
1727,191959775,147056
1727,84534430,36196
1727,191962770,168960
1727,103132196,9440
1727,84209936,16062
1727,234989162,601
1727,147023472,68778
1727,121559072,739
1727,191963596,527408
1727,103129836,6827
1727,147022380,29317
1727,147831698,21140
1727,147022292,506354
1727,82300224,40189
1727,103128669,98184
1727,147023074,191195
1727,147023610,313882
1727,147023141,249619
1727,239250655,184
1727,85445993,46758
1727,103129742,17987
1727,70357101,180
1727,63032043,8571
1727,103131005,14235
1727,69479983,20601
1727,188927007,29823
1727,77041153,180
1727,191964325,186126
1727,84535725,17020
1727,191962344,287293
1727,29372982,526
1727,66013392,540
1727,82832064,20918
1727,191960737,140912
1727,103127991,33375
1727,103130239,187107
1727,103127785,95086
1727,103129860,165192
1727,191962977,90950
1727,191960512,781511
1727,37114195,13975
1727,103129514,554709
1727,176869357,1478
1727,103129927,81704
1727,82606277,26361
1727,66020702,432
1727,84534002,21314
1727,31354377,3288
1727,191962255,88236
1727,239247758,180
1727,147022465,80538
1727,147022215,252058
1727,239249469,180
1727,35242370,436
1727,147024869,284607
1727,84536003,11705
1727,83916238,20593
1727,147022392,392230
1727,84086135,38489
1727,153554218,1559
1727,234989422,13613
1727,191962349,127374
1727,103129808,54157
1727,103131337,25113
1727,147026713,511437
1727,160607746,24225
1727,147026159,335468
1727,191963172,344964
1727,122327203,424320
1727,103131714,264882
1727,84534535,28318
1727,58895628,180
1727,191964295,87779
1727,191960055,61266
1727,147022161,57792
1727,147022105,213119
1727,147023926,416
1727,234990596,180
1727,147111437,180
1727,176504482,900
1727,66007237,862
1727,84534068,37782
1727,82322506,27013
1727,191960948,200015
1727,191959647,293400
1727,176869980,180
1727,82606354,17334
1727,147114408,646
1727,234985719,26058
1727,67662241,7843
1727,188926876,360
1727,103129998,64422
1727,68495814,4267
1727,191962890,151586
1727,89632726,115130
1727,80057212,28460
1727,66021049,99468
1727,191961800,73933
1727,147022451,214913
1727,239249514,430
1727,147113063,716
1727,191961700,529943
1727,103130698,21963
1727,103131451,699107
1727,191959893,101932
1727,147023164,211694
1727,88283885,25292
1727,103128796,11403
1727,188925163,383
1727,147023938,242366
1727,147026921,51974
1727,103129208,41070
1727,234985570,180
1727,84246078,59221
1727,66015854,421
1727,103129206,409186
1727,191960465,50777
1727,103132010,90554
1727,191963097,28638
1727,188935912,1080
1727,82299955,146382
1727,103127425,54360
1727,147023143,461597
1727,103128614,361893
1727,191959764,121139
1727,234985763,365
1727,103127821,575380
1727,108696930,20079
1727,59160442,3975
1727,103129868,58690
1727,191961241,258358
1727,117277818,900
1727,191961689,39788
1727,103129920,48829
1727,83240667,635
1727,94742509,8777
1727,155626212,17558
1727,82832241,219193
1727,191963549,142032
1727,147024878,182363
1727,103128938,931200
1727,176870083,1634
1727,60237674,3058
1727,84535935,28053
1727,191964335,669470
1727,147112057,62242
1727,103127499,95329
1727,82240748,137178
1727,188926232,17355
1727,66022128,180
1727,121383024,40316
1727,80496668,24841
1727,191962373,229266
1727,103128317,78648
1727,191961945,894628
1727,234986483,46286
1727,84533906,19779
1727,84536209,29512
1727,147026086,131008
1727,234990622,30136
1727,103130353,5859
1727,85269090,43399
1727,191960101,298476
1727,66011408,1543998
1727,66020440,214
1727,147024237,104382
1727,82018710,19737
1727,191962980,320857
1727,66015151,928
1727,103131201,20765
1727,191961980,184439
1727,103130440,46915
1727,234990614,15651
1727,43673978,5725
1727,82832334,61689
1727,147026499,382079
1727,191962928,303755
1727,84533310,46118
1727,74698617,45185
1727,188923031,1219
1727,147024571,168416
1727,176688595,45656
1727,147024090,900678
1727,191964373,135253
1727,103129155,78114
1727,82299734,485031
1727,162250305,10725
1727,82832295,92878
1727,239252588,180
1727,239252130,180
1727,176869470,180
1727,84534282,30983
1727,239248686,219
1727,191961346,318690
1727,147024200,337656
1727,103129822,670739
1727,103127815,271732
1727,191961352,298340
1727,60237953,36888
1727,103128846,8368
1727,226738933,180
1727,188924329,2846
1727,191963246,274547
1727,103128984,19968
1727,82300119,157719
1727,191962082,300075
1727,66004565,180
1727,234986407,180
1727,147023943,625281
1727,147025191,117642
1727,191963632,307851
1727,82060215,228651
1727,191962512,338892
1727,82242323,50929
1727,84534475,33955
1727,103131648,604510
1727,103130560,18911
1727,155624455,180
1727,147023675,78272
1727,103127426,562011
1727,82832273,10427
1727,147024575,590720
1727,33363865,20627
1727,78746330,36876
1727,84534706,17613
1727,82300142,56013
1727,70475780,689
1727,79097299,27476
1727,103132205,351501
1727,147024429,164885
1727,191960355,79207
1727,153434301,13979
1727,239249062,180
1727,44773653,540
1727,66006897,389
1727,191964227,237976
1727,147110923,180
1727,191962621,90791
1727,191961956,60316
1727,103130219,191137
1727,103128977,25038
1727,176486856,5487
1727,188923941,5175
1727,147024376,154955
1727,191960168,226032
1727,191961073,1153784
1727,148265560,180
1727,191962741,428231
1727,85286176,52158
1727,191962022,75055
1727,103128655,168173
1727,62958679,595
1727,147023140,34473
1727,147022114,47583
1727,60954979,6518
1727,82300291,82778
1727,191962566,257293
1727,191960326,180
1727,82059465,140871
1727,103128967,542757
1727,84534309,1458697
1727,191962595,990899
1727,34876859,180
1727,191961727,906713
1727,239251991,249
1727,103127876,38957
1727,33922077,10242
1727,204467947,553
1727,103129948,2637
1727,189854163,180
1727,239251281,180
1727,239247362,709
1727,88283978,34428
1727,191964333,240475
1727,56848236,230
1727,81722800,1504
1727,147024351,233122
1727,176506404,900
1727,103131394,175956
1727,121559116,360
1727,147025583,102278
1727,176868247,180
1727,188927015,31847
1727,103131015,39296
1727,103131487,73353
1727,66020760,339011
1727,103129217,262041
1727,115140241,21819
1727,234989472,360
1727,147112669,2349
1727,66019523,360
1727,152922022,3487
1727,66016445,219626
1727,103130117,668941
1727,103084197,532846
1727,37662686,5116
1727,82213256,26062
1727,191960123,376464
1727,147023397,499701
1727,103130914,57029
1727,54878521,11937
1727,84586884,29755
1727,234986135,60617
1727,66020520,59337
1727,191964003,560859
1727,103129343,52709
1727,103128872,9193
1727,142452823,99576
1727,103131142,2756
1727,82535028,41778
1727,103130116,29149
1727,80713788,174754
1727,131478549,180
1727,79204745,35531
1727,79160303,260
1727,147024898,271104
1727,191963909,116006
